brand,outbound_replies,inbound_mentions,deflection_rate,link_rate,signature_rate,avg_reply_chars,trigram_repetition,distinct_trigrams
AmazonHelp,169840,123492,0.0064,0.413,0.0006,124.0,0.1547,200002
AppleSupport,106860,71375,0.5247,0.7535,0.0002,136.6,0.2996,200000
Uber_Support,56270,39443,0.3586,0.5128,0.0,110.1,0.428,83863
SpotifyCares,43265,27078,0.3081,0.5049,0.0,129.6,0.2569,128181
Delta,42253,28260,0.1645,0.1534,0.0,103.9,0.1296,200009
Tesco,38573,24532,0.2682,0.0827,0.0013,139.0,0.121,200000
AmericanAir,36764,32790,0.1685,0.0647,0.0001,103.4,0.1184,198297
TMobileHelp,34317,17670,0.8195,0.482,0.0,125.0,0.1956,179669
comcastcares,33031,15126,0.715,0.04,0.8107,127.5,0.2559,97298
British_Airways,29361,23602,0.14,0.0682,0.0,124.4,0.1051,200005
SouthwestAir,28977,20652,0.1695,0.162,0.0,116.8,0.1178,199719
VirginTrains,27817,28808,0.026,0.132,0.0001,84.9,0.1088,141578
Ask_Spectrum,25860,18404,0.4951,0.394,0.175,137.2,0.2498,97446
XboxSupport,24557,22707,0.2092,0.4035,0.0,114.9,0.177,105815
sprintcare,22381,11300,0.4784,0.1732,0.683,115.1,0.239,109546
hulu_support,21872,16484,0.0054,0.5484,0.0004,136.1,0.1527,149766
sainsburys,19466,16228,0.2304,0.3063,0.0,120.6,0.1889,115286
GWRHelp,19364,21803,0.0144,0.0701,0.004,112.7,0.1048,132948
AskPlayStation,19098,20617,0.2526,0.3663,0.0,99.0,0.2953,43046
ChipotleTweets,18749,13104,0.0096,0.2779,0.114,73.4,0.2484,67597
VerizonSupport,17966,16215,0.1168,0.1083,0.0001,88.1,0.1347,81902
UPSHelp,17817,10664,0.6837,0.8506,0.0,145.4,0.2909,76231
ATVIAssist,17650,18879,0.2371,0.3208,0.0,108.2,0.1883,75424
O2,16212,14327,0.2818,0.4689,0.0002,113.7,0.181,101815
Safaricom_Care,16077,14853,0.1924,0.1068,0.0,80.6,0.113,75945
idea_cares,15724,13565,0.201,0.3299,0.0,135.8,0.3261,42374
AskTarget,13218,6429,0.3395,0.2512,0.0,170.9,0.1712,112942
AirAsiaSupport,12829,11768,0.174,0.0847,0.1469,108.3,0.1307,76340
BofA_Help,12683,5385,0.0938,0.3063,0.0,104.5,0.2687,33849
SW_Help,12231,13222,0.0071,0.1795,0.0,115.7,0.0988,107085
ArgosHelpers,12174,10126,0.2977,0.0774,0.0379,106.0,0.1464,91129
AskLyft,11809,5455,0.5536,0.7272,0.0,127.6,0.515,35154
marksandspencer,11504,9093,0.1127,0.1297,0.0,112.8,0.1114,92892
AskAmex,11358,8304,0.0159,0.0623,0.0,96.9,0.2395,39400
MicrosoftHelps,11304,9475,0.0803,0.5119,0.0,136.1,0.178,78605
AskPayPal,11298,7864,0.7248,0.2685,0.0004,130.5,0.2759,58269
Morrisons,10126,7727,0.2537,0.0119,0.0046,98.1,0.2015,56853
AdobeCare,9917,6286,0.091,0.4128,0.0081,128.0,0.225,67985
airtel_care,9881,5512,0.1798,0.0298,0.0,110.8,0.3604,17118
AskeBay,9686,7443,0.2838,0.1828,0.0,140.6,0.0968,113884
